fecha_evento,hora,tipo_de_evento,coordenada_x,coordenada_y,colonia,alcaldia,tipo_de_interseccion,tipo_de_vehiculo_1,tipo_de_vehiculo_2,tipo_de_vehiculo_3,tipo_de_vehiculo_4,marca_de_vehiculo_1,marca_de_vehiculo_2,marca_de_vehiculo_3,marca_de_vehiculo_4,unidad_medica_de_apoyo,prioridad,color_vehiculo_1,color_vehiculo_2,color_vehiculo_3
2020-04-06T00:00:00,12:50:00,CHOQUE,19.368116,-99.142903,PORTALES NTE,BENITO JUAREZ,CRUZ,AUTOMOVIL,BICICLETA,NA,NA,IBIZA,SD,NA,NA,PC,BAJA,SD,SD,NA
2020-04-06T00:00:00,18:31:00,CHOQUE,19.301142,-99.115521,COAPA STA CECILIA,COYOACAN,CRUZ,MOTOCICLETA,AUTOMOVIL,NA,NA,ITALIKA,JETTA,NA,NA,ERUM,BAJA,VERDE,GRIS,NA
2020-04-06T00:00:00,18:39:00,CHOQUE,19.476843,-99.092207,JOSE MA MORELOS Y PAVON,GUSTAVO A MADERO,T,MOTOCICLETA,AUTOMOVIL,NA,NA,SD,CHEVROLET,NA,NA,PARTICULAR,BAJA,NEGRO,SD,NA
2020-04-06T00:00:00,11:38:00,DERRAPADO,19.298474,-98.98467,SAN FCO TLALTENCO,TLAHUAC,RECTA,MOTOCICLETA,NA,NA,NA,YAMAHA,NA,NA,NA,PC,MEDIA,AMARILLO,NA,NA
2020-04-06T00:00:00,13:31:00,DERRAPADO,19.43617,-99.204754,LOS MORALES,MIGUEL HIDALGO,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,SEGURO,BAJA,SD,NA,NA
2020-04-06T00:00:00,15:31:00,DERRAPADO,19.403471,-99.192495,COVE,MIGUEL HIDALGO,T,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,UM,MEDIA,SD,NA,NA
2020-04-07T00:00:00,10:19:00,ATROPELLADO,19.47042,-99.11949,GUADALUPE TEPEYAC,GUSTAVO A MADERO,T,AUTOMOVIL,NA,NA,NA,SD,NA,NA,NA,TRITONES,MEDIA,SD,NA,NA
2020-04-07T00:00:00,19:05:00,ATROPELLADO,19.466033,-99.118281,GUADALUPE TEPEYAC,GUSTAVO A MADERO,CRUZ,AUTOMOVIL,NA,NA,NA,SD,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-07T00:00:00,08:58:00,CHOQUE,19.430129,-99.13366,CENTRO,CUAUHTEMOC,CRUZ,CAMIONETA,MOTOCICLETA,NA,NA,BMW,ITALIKA,NA,NA,ERUM,BAJA,NEGRO,ROJO,NA
2020-04-07T00:00:00,13:52:00,CHOQUE,19.307989,-98.965149,LA CONCEPCION,TLAHUAC,CRUZ,BICICLETA,AUTOMOVIL,NA,NA,SD,SONIC,NA,NA,PC,BAJA,SD,BLANCO,NA
2020-04-07T00:00:00,17:20:00,CHOQUE,19.40146,-99.12511,VIADUCTO PIEDAD,IZTACALCO,CRUZ,AUTOMOVIL,TAXI,NA,NA,BMW,HYUNDAI,NA,NA,ERUM,BAJA,BLANCO,BLANCO/ROSA,NA
2020-04-07T00:00:00,17:51:00,CHOQUE,19.45007,-99.11594,JANITZIO,VENUSTIANO CARRANZA,CRUZ,MOTOCICLETA,AUTOMOVIL,NA,NA,SD,CAVALIER,NA,NA,ERUM,BAJA,NARANJA,BLANCO,NA
2020-04-07T00:00:00,00:51:00,DERRAPADO,19.437779,-99.08709,PEON DE LOS BAOS,VENUSTIANO CARRANZA,CRUZ,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-07T00:00:00,02:04:00,DERRAPADO,19.359309,-99.3021,CUAJIMALPA,CUAJIMALPA,T,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,PC,BAJA,ROJO,NA,NA
2020-04-07T00:00:00,08:59:00,DERRAPADO,19.295659,-99.18488,LA JOYA,TLALPAN,RAMAS MULTIPLES,MOTOCICLETA,NA,NA,NA,VENTO,NA,NA,NA,CRUZ ROJA,BAJA,ROJO,NA,NA
2020-04-07T00:00:00,12:17:00,DERRAPADO,19.361559,-99.142779,PORTALES NTE,BENITO JUAREZ,T,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-08T00:00:00,13:00:00,ATROPELLADO,19.347028,-99.009315,2A AMPL SANTIAGO ACAHUALTEPEC,IZTAPALAPA,T,CAMION DE CARGA,NA,NA,NA,SD,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-08T00:00:00,21:30:00,ATROPELLADO,19.191628,-99.086689,SAN SALVADOR CUAUHTENCO,MILPA ALTA,T,AUTOBUS DE PASAJEROS,NA,NA,NA,SD,NA,NA,NA,ERUM,MEDIA,SD,NA,NA
2020-04-08T00:00:00,19:15:00,CHOQUE,19.401693,-99.155638,NARVARTE PTE,BENITO JUAREZ,CRUZ,BICICLETA,AUTOMOVIL,NA,NA,SD,SD,NA,NA,MEDBOX,BAJA,SD,SD,NA
2020-04-08T00:00:00,07:48:00,DERRAPADO,19.424605,-99.15883,JUAREZ,CUAUHTEMOC,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,ERUM,MEDIA,SD,NA,NA
2020-04-08T00:00:00,13:42:00,DERRAPADO,19.41372,-99.136785,OBRERA,CUAUHTEMOC,CRUZ,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,ERUM,BAJA,ROJO,NA,NA
2020-04-08T00:00:00,17:35:00,DERRAPADO,19.434724,-99.160424,SAN RAFAEL,CUAUHTEMOC,CRUZ,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,URGENCIAS BASICAS,MEDIA,SD,NA,NA
2020-04-08T00:00:00,19:05:00,DERRAPADO,19.422969,-99.134178,CENTRO,CUAUHTEMOC,CURVA,MOTOCICLETA,NA,NA,NA,SUZUKI,NA,NA,NA,ERUM,MEDIA,SD,NA,NA
2020-04-08T00:00:00,22:02:00,DERRAPADO,19.35103,-99.056961,CONSTITUCION DE 1917,IZTAPALAPA,Y,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,URGENCIAS BASICAS,BAJA,NEGRO/ROJO,NA,NA
2020-04-08T00:00:00,22:02:00,DERRAPADO,19.356459,-99.110995,GRANJAS SAN ANTONIO,IZTAPALAPA,T,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,PC,BAJA,AZUL,NA,NA
2020-04-09T00:00:00,10:24:00,ATROPELLADO,19.436709,-99.14401,CENTRO,CUAUHTEMOC,T,MOTOCICLETA,NA,NA,NA,BAJAJ,NA,NA,NA,SD,BAJA,NEGRO,NA,NA
2020-04-09T00:00:00,12:51:00,CAIDA DE CICLISTA,19.43264,-99.13001,CENTRO,CUAUHTEMOC,T,BICICLETA,NA,NA,NA,SD,NA,NA,NA,SD,MEDIA,SD,NA,NA
2020-04-09T00:00:00,05:12:00,CHOQUE,19.425749,-99.13141,CENTRO,CUAUHTEMOC,T,MOTOCICLETA,CAMIONETA,NA,NA,HONDA,SD,NA,NA,ERUM,MEDIA,BLANCO,SD,NA
2020-04-09T00:00:00,07:37:00,CHOQUE,19.372236,-99.016312,Z U E STA MARTHA ACATITLA,IZTAPALAPA,T,MICROBUS,OBJETO FIJO,NA,NA,URVAN,NA,NA,NA,ERUM,MEDIA,BLANCO,NA,NA
2020-04-09T00:00:00,09:23:00,CHOQUE,19.502832,-99.131279,NUEVA INDUSTRIAL VALLEJO,GUSTAVO A MADERO,CRUZ,AUTOMOVIL,AUTOMOVIL,NA,NA,SPARK,SPARK,NA,NA,CRUZ ROJA,MEDIA,MORADO,BLANCO,NA
2020-04-09T00:00:00,09:32:00,CHOQUE,19.29418,-99.23032,LOMAS DE PADIERNA,TLALPAN,CRUZ,MOTOCICLETA,CAMION DE CARGA,NA,NA,SD,MP300,NA,NA,ERUM,MEDIA,NEGRO,BLANCO,NA
2020-04-09T00:00:00,13:23:00,CHOQUE,19.395646,-99.181324,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,CRUZ,AUTOMOVIL,AUTOMOVIL,NA,NA,VENTO,VERSA,NA,NA,CRUZ ROJA,BAJA,GRIS,ROJO,NA
2020-04-09T00:00:00,16:25:00,CHOQUE,19.410522,-99.086917,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,T,AUTOMOVIL,MOTOCICLETA,NA,NA,CHEVY,SD,NA,NA,MOVIL,BAJA,BLANCO,NEGRO,NA
2020-04-09T00:00:00,19:03:00,CHOQUE,19.357039,-99.09622,BA SAN LUCAS,IZTAPALAPA,T,BICICLETA,TAXI,NA,NA,SD,AVEO,NA,NA,ERUM,MEDIA,SD,BLANCO/ROSA,NA
2020-04-09T00:00:00,21:30:00,CHOQUE,19.391174,-99.184874,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,CRUZ,AUTOMOVIL,MOTOCICLETA,NA,NA,SD,SD,NA,NA,MEDICAR,BAJA,SD,SD,NA
2020-04-09T00:00:00,14:57:00,DERRAPADO,19.37934,-99.17245,TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,SD,BAJA,NEGRO,NA,NA
2020-04-09T00:00:00,15:09:00,DERRAPADO,19.39815,-99.09902,GRANJAS MEXICO,IZTACALCO,T,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,MOVIL,BAJA,SD,NA,NA
2020-04-09T00:00:00,20:30:00,DERRAPADO,19.40363,-99.12876,ASTURIAS,CUAUHTEMOC,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,SD,BAJA,SD,NA,NA
2020-04-09T00:00:00,20:48:00,DERRAPADO,19.458899,-99.178747,POPOTLA,AZCAPOTZALCO,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,SD,MEDIA,SD,NA,NA
2020-04-10T00:00:00,00:03:00,ATROPELLADO,19.2999,-99.0463,MIGUEL HIDALGO,TLAHUAC,CRUZ,AUTOMOVIL,NA,NA,NA,VERSA,NA,NA,NA,CCO/ERUM,ALTA,BLANCO,NA,NA
2020-04-10T00:00:00,17:49:00,ATROPELLADO,19.353114,-99.060277,CONSTITUCION DE 1917,IZTAPALAPA,CRUZ,AUTOMOVIL,NA,NA,NA,AVEO,NA,NA,NA,PC,BAJA,AZUL,NA,NA
2020-04-10T00:00:00,09:32:00,CHOQUE,19.356052,-99.093353,SANTUARIO,IZTAPALAPA,T,MOTOCICLETA,CAMIONETA,NA,NA,JIA,SCAPE,NA,NA,PC,BAJA,SD,BLANCO,NA
2020-04-10T00:00:00,13:30:00,CHOQUE,19.422764,-99.22296,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,T,MOTOCICLETA,AUTOMOVIL,NA,NA,VENTO,MUSTANG,NA,NA,CRUZ ROJA,BAJA,NEGRO,SD,NA
2020-04-10T00:00:00,16:45:00,CHOQUE,19.387352,-99.167101,DEL VALLE,BENITO JUAREZ,CRUZ,AUTOMOVIL,MOTOCICLETA,NA,NA,SUZUKI,ITALIKA,NA,NA,PC,MEDIA,PLATEADO,NEGRO,NA
2020-04-10T00:00:00,20:20:00,CHOQUE,19.442178,-99.192151,GRANADA,MIGUEL HIDALGO,T,AUTOMOVIL,BICICLETA,NA,NA,CIVIC,SD,NA,NA,SOPORTE VITAL,BAJA,PLATEADO,SD,NA
2020-04-10T00:00:00,02:44:00,DERRAPADO,19.254917,-99.065882,SAN JUAN MINAS,XOCHIMILCO,T,MOTOCICLETA,NA,NA,NA,VENTO,NA,NA,NA,PC,BAJA,NEGRO,NA,NA
2020-04-10T00:00:00,17:34:00,DERRAPADO,19.267057,-99.148152,FUENTES DE TEPEPAN,TLALPAN,T,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,ERUM,MEDIA,SD,NA,NA
2020-04-10T00:00:00,17:56:00,DERRAPADO,19.46524,-99.142878,VALLEJO,GUSTAVO A MADERO,RECTA,MOTOCICLETA,NA,NA,NA,VELOCID,NA,NA,NA,PC,BAJA,GRIS,NA,NA
2020-04-10T00:00:00,18:30:00,DERRAPADO,19.347342,-99.075721,LOS ANGELES APANOAYA,IZTAPALAPA,CRUZ,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-10T00:00:00,21:15:00,DERRAPADO,19.507543,-99.122592,SAN PEDRO ZACATENCO,GUSTAVO A MADERO,T,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-10T00:00:00,21:55:00,DERRAPADO,19.329714,-99.222201,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,RECTA,MOTOCICLETA,NA,NA,NA,ITALIKA,NA,NA,NA,PC,BAJA,SD,NA,NA
2020-04-11T00:00:00,18:15:00,ATROPELLADO,19.36134,-99.226519,MINA LOS COYOTES,ALVARO OBREGON,T,SD,NA,NA,NA,SD,NA,NA,NA,CRUZ ROJA,BAJA,SD,NA,NA
2020-04-11T00:00:00,02:59:00,CHOQUE,19.35778,-99.088388,SAN PABLO,IZTAPALAPA,T,TAXI,AUTOMOVIL,NA,NA,SD,SD,NA,NA,PC,MEDIA,BLANCO/ROSA,ROJO,NA
2020-04-11T00:00:00,06:22:00,CHOQUE,19.319599,-99.22883,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,T,AUTOMOVIL,CAMION DE CARGA,NA,NA,SENTRA,PICK UP,NA,NA,SD,BAJA,NEGRO,ROJO,NA
2020-04-11T00:00:00,08:09:00,CHOQUE,19.459379,-99.09972,GERTRUDIS SANCHEZ 3A SECC,GUSTAVO A MADERO,CRUZ,AUTOMOVIL,AUTOMOVIL,NA,NA,AUDI,SONIC,NA,NA,TRITON,BAJA,BLANCO,ROJO,NA
2020-04-11T00:00:00,11:28:00,CHOQUE,19.377775,-99.149119,INDEPENDENCIA,BENITO JUAREZ,CRUZ,MOTOCICLETA,AUTOMOVIL,NA,NA,CARGO,CLIO,NA,NA,CIMA,BAJA,NEGRO,VINO,NA
2020-04-11T00:00:00,12:19:00,CHOQUE,19.41044,-99.08047,PUEBLA,VENUSTIANO CARRANZA,CRUZ,AUTOBUS DE PASAJEROS,AUTOMOVIL,NA,NA,SD,AVEO,NA,NA,SECTOR MEDICO,MEDIA,VERDE,NEGRO,NA
2020-04-11T00:00:00,12:24:00,CHOQUE,19.393769,-99.171219,DEL VALLE,BENITO JUAREZ,CRUZ,CAMIONETA,AUTOMOVIL,NA,NA,SD,SD,NA,NA,SD,BAJA,CAFE,GRIS,NA
2020-04-11T00:00:00,12:48:00,CHOQUE,19.458639,-99.18515,TACUBA,MIGUEL HIDALGO,T,MICROBUS,BICICLETA,NA,NA,URBAN,SD,NA,NA,SVA,MEDIA,VERDE,SD,NA
